"","X","gender","age","married","employed","educated_in_us","highest_degree","education_years","labor_income"
"333",333,2,37,0,"employed",1,"no college",12,0
"334",334,1,37,1,"employed",1,"bachelor",16,0
"335",335,2,38,1,"employed",1,"bachelor",16,0
"336",336,1,46,1,"employed",1,"no college",12,0
"337",337,1,50,1,"employed",1,"bachelor",16,0
"338",338,1,38,1,"employed",1,"no college",12,0
"339",339,2,41,1,"employed",1,"associate",14,0
"340",340,1,59,1,"employed",1,"no college",12,0
"341",341,1,61,1,"retired",1,"no college",12,0
"342",342,2,61,1,"employed",1,"no college",12,0
"343",343,2,44,1,"employed",1,"no college",13,0
"344",344,2,39,0,"employed",1,"no college",12,0
"345",345,2,24,1,"employed",1,"no college",12,0
"346",346,2,22,0,"employed",1,"no college",12,0
"347",347,2,12,0,NA,0,"no college",0,0
"348",348,2,1,0,NA,0,"no college",0,0
"349",349,1,1,0,NA,0,"no college",0,0
"350",350,1,61,1,"employed",1,"no college",8,0
"351",351,1,50,1,"disabled",1,"no college",12,0
"352",352,1,22,0,NA,0,"no college",0,0
"353",353,1,44,0,"employed",1,"bachelor",99,100000
"354",354,1,35,1,"employed",1,"no college",12,0
"355",355,2,61,0,"retired",1,"no college",12,0
"356",356,2,39,1,"employed",1,"no college",12,0
"357",357,1,27,1,"unemployed",1,"no college",11,0
"358",358,1,81,1,"retired",1,"no college",14,0
"359",359,2,79,1,"keeping house",1,"no college",13,0
"360",360,2,56,1,"employed",1,"no college",17,0
"361",361,1,52,1,"employed",1,"medical degree",17,0
"362",362,2,47,1,"employed",1,"bachelor",16,0
"363",363,2,44,1,"employed",1,"bachelor",16,0
"364",364,2,41,1,"employed",1,"bachelor",16,0
"365",365,2,29,1,"employed",1,"no college",12,0
"366",366,1,28,0,"employed",1,"no college",12,0
"367",367,2,26,0,"employed",1,"refused_answer",13,0
"368",368,2,26,0,"employed",1,"bachelor",16,0
"369",369,1,24,0,NA,0,"no college",0,0
"370",370,2,21,0,"employed",1,"associate",15,12000
"371",371,2,20,0,"employed",1,"associate",14,10000
"372",372,2,19,0,"employed",1,"no college",13,2831
"373",373,1,18,0,"employed",1,"no college",12,3600
"374",374,2,18,0,"student",1,"no college",12,0
"375",375,2,14,0,NA,0,"no college",0,0
"376",376,1,11,0,NA,0,"no college",0,0
"377",377,2,5,0,NA,0,"no college",0,0
"378",378,1,2,0,NA,0,"no college",0,0
"379",379,1,56,1,"employed",1,"no college",14,0
"380",380,1,49,1,"employed",1,"no college",12,0
"381",381,1,45,1,"employed",1,"master",17,0
"382",382,1,47,1,"employed",1,"bachelor",17,0
"383",383,2,43,1,"keeping house",2,"no college",16,0
"384",384,1,32,1,"employed",1,"no college",12,0
"385",385,2,83,0,"retired",0,"no college",0,0
"386",386,1,26,0,"employed",1,"bachelor",16,70000
"387",387,1,27,0,"employed",1,"no college",13,10847
"388",388,1,82,1,"retired",1,"no college",12,0
"389",389,2,76,1,"employed",1,"no college",12,0
"390",390,1,57,0,"employed",1,"no college",12,0
"391",391,1,53,0,"employed",1,"no college",13,0
"392",392,2,55,1,"employed",1,"bachelor",16,0
"393",393,2,43,1,"employed",1,"bachelor",16,0
"394",394,2,28,0,"employed",1,"bachelor",16,0
"395",395,1,25,1,"employed",1,"bachelor",17,0
"396",396,2,24,0,"employed",1,"associate",17,6000
"397",397,1,22,0,"employed",1,"associate",14,0
"398",398,1,57,1,"employed",1,"bachelor",17,0
"399",399,2,56,0,"employed",0,"no college",0,58000
"400",400,2,55,0,"employed",0,"no college",0,45000
"401",401,1,44,1,"employed",1,"no college",12,0
"402",402,2,25,1,"employed",1,"bachelor",16,0
"403",403,1,75,1,"retired",1,"no college",12,0
"404",404,2,74,1,"keeping house",1,"no college",12,0
"405",405,2,47,1,"keeping house",1,"no college",12,0
"406",406,1,21,0,NA,0,"no college",0,0
"407",407,1,16,0,"employed",1,"no college",10,0
"408",408,1,14,0,NA,0,"no college",0,0
"409",409,1,9,0,NA,0,"no college",0,0
"410",410,1,8,0,NA,0,"no college",0,0
"411",411,1,6,0,NA,0,"no college",0,0
"412",412,1,50,1,"employed",1,"no college",12,0
"413",413,2,28,1,"employed",1,"no college",12,0
"414",414,1,38,1,"furlough",1,"no college",12,0
"415",415,1,1,0,NA,0,"no college",0,0
"416",416,1,82,1,"retired",1,"no college",12,0
"417",417,2,79,1,"retired",1,"no college",15,0
"418",418,1,59,1,"employed",1,"no college",11,0
"419",419,2,58,1,"employed",1,"no college",12,0
"420",420,2,57,1,"keeping house",1,"no college",12,0
"421",421,1,56,1,"disabled",1,"no college",12,0
"422",422,1,55,1,"employed",1,"no college",12,0
"423",423,1,52,1,"unemployed",1,"no college",12,0
"424",424,1,50,0,"keeping house",1,"no college",12,0
"425",425,1,38,1,"employed",1,"no college",12,0
"426",426,1,37,1,"employed",1,"no college",12,0
"427",427,1,36,1,"employed",1,"no college",12,0
"428",428,1,28,0,"employed",1,"no college",11,0
"429",429,1,26,0,"employed",1,"no college",12,0
"430",430,1,26,0,"employed",1,"no college",12,0
"431",431,1,24,1,"employed",1,"bachelor",16,0
"432",432,1,24,0,"employed",8,"no college",12,40000
"433",433,1,17,0,"student",1,"no college",11,0
"434",434,2,12,0,NA,0,"no college",0,0
"435",435,2,13,0,NA,0,"no college",0,0
"436",436,1,11,0,NA,0,"no college",0,0
"437",437,1,11,0,NA,0,"no college",0,0
"438",438,2,10,0,NA,0,"no college",0,0
